"LOCALITY_ID","LOCALITY","Number_of_checklists","LATITUDE","LONGITUDE","city_country","lon","lat","Country","Urban_area","LOCALITY_TYPE","distance.km"
"L1000889","Dubai Pivot Fields (historical)",279,25.1698635,55.4327737999997,"Dubai, United Arab Emirates",55.2707828,25.2048493,"United Arab Emirates","Dubai","H",16.7817630160604
"L1003731","North Park--Arboretum area",285,40.5938815999998,-79.9934291999998,"Pittsburgh, United States",-79.9958864,40.4406248,"United States","Pittsburgh","H",17.0196123131767
"L1004802","Presidio--Crissy Field Lagoon",1057,37.8047657999996,-122.456231100002,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",4.6349273879531
"L1007610","Sherwood Arboretum",304,-27.5316399000001,152.974405300001,"Brisbane, Australia",153.0251235,-27.4697707,"Australia","Brisbane","H",8.49221728377873
"L1009187","Eloise Butler Wildflower Garden and Bird Sanctuary",256,44.9749396999998,-93.3206782999997,"Minneapolis, United States",-93.2650108,44.977753,"United States","Minneapolis","H",4.4021279760479
"L1009656","Ottawa--Shirley's Bay (Dyke)",799,45.3746843000003,-75.8909582999991,"Ottawa, Canada",-75.6971931,45.4215296,"Canada","Ottawa","H",16.0400645369352
"L1014322","Lafayette Park (SF Co.)",694,37.7914727999997,-122.427349100001,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",1.96468385711012
"L1014398","Ojibway Prairie Complex (general location)",253,42.2647333000003,-83.074944,"Detroit, United States",-83.0457538,42.331427,"United States","Detroit","H",7.78952571645839
"L1022599","Ocean Beach--seawatch across from Oceanside Water Polution Plant",387,37.7294017000003,-122.506903399999,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",9.21846278737586
"L1025768","Franklin Delano Roosevelt (FDR) Park",488,39.9027901000005,-75.1819753999999,"Philadelphia, United States",-75.1652215,39.9525839,"United States","Philadelphia","H",5.7112545244421
"L1026132","Bayfront Park--Millbrae (SM Co.)",285,37.6050226000001,-122.3765385,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",19.2335330300387
"L1026441","UW Seattle Campus",357,47.6572653000002,-122.3072076,"Seattle, United States",-122.3320708,47.6062095,"United States","Seattle","H",5.9761855810811
"L1027749","Heron Lakes Golf Club--Force Lake",693,45.6049109999994,-122.695355400001,"Portland, United States",-122.6764815,45.5230622,"United States","Portland","H",9.21546552464932
"L1029158","Ensley Bottoms--TVA Lake/Allen Fossil (Steam) Plant Ash Ponds",296,35.0720146000002,-90.1377796999996,"Memphis, United States",-90.0489801,35.1495343,"United States","Memphis","H",11.8110019518898
"L1032814","Alfred Cove Nature Reserve",312,-32.0259057999999,115.8133221,"Perth, Australia",115.8604572,-31.9505269,"Australia","Perth","H",9.47139767785273
"L1037685","Tanque Verde Wash--Tanque Verde Loop Rd.",501,32.2412452000003,-110.755405399999,"Tucson, United States",-110.926479,32.2217429,"United States","Tucson","H",16.2689125054394
"L1038314","University of Minnesota--St. Paul campus",338,44.9844909000002,-93.1819882000009,"Minneapolis, United States",-93.2650108,44.977753,"United States","Minneapolis","H",6.59089153265877
"L1040056","Sanibel Beach",275,26.4447544000002,-82.0266723999996,"Cape Coral, United States",-81.9495331,26.5628537,"United States","Cape Coral","H",15.1771934819829
"L1048491","Mission Nature Park",345,26.1922195999998,-98.3378935,"McAllen, United States",-98.2300124,26.2034071,"United States","McAllen","H",10.8536611792322
"L105600","LaBagh Woods Forest Preserve",1107,41.9803902999994,-87.7412753999998,"Chicago, United States",-87.6297982,41.8781136,"United States","Chicago","H",14.647292416191
"L1059455","Prospect Park--Prospect Lake",502,40.6553787,-73.9686421000004,"New York, United States",-74.0059413,40.7127837,"United States","New York","H",7.11188431994894
"L1069194","Philadelphia Naval Yard (restricted access)",298,39.8876082000001,-75.1659142999998,"Philadelphia, United States",-75.1652215,39.9525839,"United States","Philadelphia","H",7.21469636093155
"L1070558","Mushrif Palace Gardens",333,24.4497840000001,54.3803329999997,"Abu Dhabi, United Arab Emirates",54.3773438,24.453884,"United Arab Emirates","Abu Dhabi","H",0.545985092794303
"L1071411","Sutro Baths--ruins and freshwater pond",254,37.7799751999999,-122.5133193,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",8.29159858581502
"L1074046","East Portal Park",650,38.5639721000004,-121.441626500002,"Sacramento, United States",-121.4943996,38.5815719,"United States","Sacramento","H",4.99669135939275
"L1078564","Brunot Island--Doerr St.",282,40.4691841000002,-80.0419664000001,"Pittsburgh, United States",-79.9958864,40.4406248,"United States","Pittsburgh","H",5.03341976148447
"L108460","Douglas Park, Chicago",409,41.8633212999997,-87.6991555999995,"Chicago, United States",-87.6297982,41.8781136,"United States","Chicago","H",5.98775246016357
"L108479","Columbus Park, Chicago",558,41.8751828999996,-87.7698144000004,"Chicago, United States",-87.6297982,41.8781136,"United States","Chicago","H",11.6273816502437
"L1085740","Golden Gate Park--San Francisco Botanical Garden",1411,37.7675937000005,-122.468805300003,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",4.42698707134842
"L109051","Corte Madera Marsh",290,37.9383677,-122.5100899,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",19.818086898122
"L109138","Braddock Bay Park--Hawk Watch",318,43.3036499999999,-77.7163027999996,"Rochester, United States",-77.6109219,43.16103,"United States","Rochester","H",18.0092970688033
"L109144","Jamaica Bay Wildlife Refuge--East Pond",784,40.6226854000006,-73.8220096000004,"New York, United States",-74.0059413,40.7127837,"United States","New York","H",18.4928715841513
"L109145","Jamaica Bay Wildlife Refuge--West Pond",581,40.6161111000001,-73.8302777999998,"New York, United States",-74.0059413,40.7127837,"United States","New York","H",18.3273534150266
"L109160","Station 43",361,41.8338915000003,-72.6233195999996,"Hartford, United States",-72.6850932,41.7637111,"United States","Hartford","H",9.33376298060638
"L109439","Golden Gate Park",257,37.7696460999998,-122.4841261,"San Francisco, United States",-122.4194155,37.7749295,"United States","San Francisco","H",5.73130027678342
"L109516","Prospect Park",6744,40.660284100005,-73.9689533999916,"New York, United States",-74.0059413,40.7127837,"United States","New York","H",6.61548598700089
"L109518","Central Park--The Ramble",5291,40.7771162000048,-73.969573899992,"New York, United States",-74.0059413,40.7127837,"United States","New York","H",7.77637072456155
"L1096830","Poggi Creek greenbelt",284,32.5939737,-117.041977600001,"Tijuana, Mexico",-117.0382471,32.5149469,"Mexico","Tijuana","H",8.7708010598242
"L11","Toronto--High Park",1197,43.6446469000002,-79.4625379000015,"Toronto, Canada",-79.3831843,43.653226,"Canada","Toronto","H",6.47262760876899
