Rank,Country,Urban_area,city_country,Population_estimate,Square_miles,Square_kiliometers,Per_square_mile,Per_square_kilometer,Pop.Area
1,Japan,Tokyo,"Tokyo, Japan","37,750,000","3,300","8,547","11,400","4,400",C:B
2,Indonesia,Jakarta,"Jakarta, Indonesia","31,320,000","1,245","3,225","25,200","9,700",C:B
3,India,Delhi,"Delhi, India","25,735,000",835,"2,163","30,800","11,900",A:B
4,South Korea,Seoul,"Seoul, South Korea","23,575,000","1,000","2,590","23,600","9,100",C:B
5,Philippines,Manila,"Manila, Philippines","22,930,000",630,"1,632","36,400","14,100",C:B
6,India,Mumbai,"Mumbai, India","22,885,000",340,881,"67,300","26,000",C:B
7,Pakistan,Karachi,"Karachi, Pakistan","22,825,000",365,945,"62,500","24,100",C:B
8,China,Shanghai,"Shanghai, China","22,685,000","1,500","3,885","15,100","5,800",L:B
9,United States,New York,"New York, United States","20,685,000","4,495","11,642","4,500","1,800",N:N
10,Brazil,Sao Paulo,"Sao Paulo, Brazil","20,605,000","1,045","2,707","19,700","7,600",C:B
11,China,Beijing,"Beijing, China","20,390,000","1,520","3,937","13,400","5,200",L:B
12,Mexico,Mexico City,"Mexico City, Mexico","20,230,000",800,"2,072","25,300","9,800",C:B
13,China,Guangzhou,"Guangzhou, China","18,760,000","1,475","3,820","12,700","4,900",L:B
14,Japan,Osaka,"Osaka, Japan","16,985,000","1,240","3,212","13,700","5,300",C:B
15,Russia,Moscow,"Moscow, Russia","16,570,000","2,050","5,310","8,100","3,100",C:B
16,Bangladesh,Dhaka,"Dhaka, Bangladesh","16,235,000",142,368,"114,300","44,100",C:B
17,Egypt,Cairo,"Cairo, Egypt","15,910,000",680,"1,761","23,400","9,000",C:B
18,Thailand,Bangkok,"Bangkok, Thailand","15,315,000","1,000","2,590","15,300","5,900",C:B
19,United States,Los Angeles,"Los Angeles, United States","15,135,000","2,432","6,299","6,000","2,400",N:N
20,India,Kolkata,"Kolkata, India","14,810,000",465,"1,204","31,800","12,300",A:B
21,Argentina,Buenos Aires,"Buenos Aires, Argentina","14,280,000","1,035","2,681","13,800","5,300",C:B
22,Iran,Tehran,"Tehran, Iran","13,670,000",630,"1,632","21,700","8,400",C:B
23,Turkey,Istanbul,"Istanbul, Turkey","13,520,000",525,"1,360","25,800","9,900",C:B
24,Nigeria,Lagos,"Lagos, Nigeria","12,830,000",550,"1,425","23,300","9,000",W:B
25,China,Shenzhen,"Shenzhen, China","12,240,000",675,"1,748","18,100","7,000",L:B
26,Brazil,Rio de Janeiro,"Rio de Janeiro, Brazil","11,815,000",780,"2,020","15,100","5,800",C:B
27,Congo (Dem. Rep.),Kinshasa,"Kinshasa, Congo (Dem. Rep.)","11,380,000",225,583,"50,600","19,500",C:B
28,China,Tianjin,"Tianjin, China","11,260,000",775,"2,007","14,500","5,600",L:B
29,Peru,Lima,"Lima, Peru","10,950,000",355,919,"30,800","11,900",C:B
30,France,Paris,"Paris, France","10,870,000","1,098","2,845","9,600","3,700",A:A
31,China,Chengdu,"Chengdu, China","10,680,000",650,"1,684","16,400","6,300",L:B
32,Pakistan,Lahore,"Lahore, Pakistan","10,355,000",305,790,"34,000","13,100",F:B
33,United Kingdom,London,"London, United Kingdom","10,350,000",671,"1,738","14,600","5,600",A:A
34,India,Bangalore,"Bangalore, India","10,165,000",450,"1,166","22,600","8,700",A:B
35,Viet Nam,Ho Chi Minh City,"Ho Chi Minh City, Viet Nam","10,075,000",600,"1,554","16,800","6,500",C:B
36,Japan,Nagoya,"Nagoya, Japan","10,035,000","1,500","3,885","6,700","2,600",C:B
37,India,Chennai,"Chennai, India","9,985,000",375,971,"26,600","10,300",A:B
38,Colombia,Bogota,"Bogota, Colombia","9,520,000",217,562,"43,900","16,900",C:B
39,United States,Chicago,"Chicago, United States","9,185,000","2,647","6,856","3,400","1,300",N:N
40,South Africa,Johannesburg,"Johannesburg, South Africa","8,655,000","1,000","2,590","8,700","3,300",C:B
41,China: Taiwan,Taipei,"Taipei, China: Taiwan","8,500,000",440,"1,140","19,300","7,500",C:B
42,China,Dongguan,"Dongguan, China","8,260,000",625,"1,619","13,200","5,100",L:B
43,India,Hyderabad,"Hyderabad, India","7,750,000",475,"1,230","16,300","6,300",A:B
44,China,Wuhan,"Wuhan, China","7,620,000",510,"1,321","14,900","5,800",L:B
45,China,Hangzhou,"Hangzhou, China","7,605,000",490,"1,269","15,500","6,000",C:B
46,Viet Nam,Hanoi,"Hanoi, Viet Nam","7,445,000",335,868,"22,200","8,600",C:B
47,China,Chongqing,"Chongqing, China","7,440,000",375,971,"19,800","7,700",C:B
48,Nigeria,Onitsha,"Onitsha, Nigeria","7,425,000",759,"1,965","9,800","3,800",W:W
49,India,Ahmadabad,"Ahmadabad, India","7,410,000",135,350,"54,900","21,200",A:B
50,Malaysia,Kuala Lumpur,"Kuala Lumpur, Malaysia","7,365,000",820,"2,124","9,000","3,500",C:B
51,China: Hong Kong SAR,Hong Kong,"Hong Kong, China: Hong Kong SAR","7,280,000",110,285,"66,200","25,600",C:B
52,China,Quanzhou,"Quanzhou, China","7,020,000",635,"1,645","11,100","4,300",C:B
53,Angola,Luanda,"Luanda, Angola","6,955,000",380,984,"18,300","7,100",C:B
54,Iraq,Baghdad,"Baghdad, Iraq","6,790,000",260,673,"26,100","10,100",D:B
55,Germany,Essen,"Essen, Germany","6,675,000","1,025","2,655","6,500","2,500",C:B
56,Canada,Toronto,"Toronto, Canada","6,550,000",883,"2,287","7,400","2,900",N:N
57,China,Nanjing,"Nanjing, China","6,380,000",515,"1,334","12,400","4,800",L:B
58,United States,Dallas,"Dallas, United States","6,280,000","1,998","5,175","2,800","1,200",N:N
