file.name,value,name,LOCALITY_ID
evi_2016_25,0.348183638,A. D. Barnes Park,L200830
evi_2016_25,0.202227728,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
evi_2016_25,0.424907418,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
evi_2016_25,0.231570859,Addis Ababa--Ghion Hotel,L3016220
evi_2016_25,0.117423228,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
evi_2016_25,0.303716069,Athens National Gardens,L2694540
evi_2016_25,0.249135333,Büyük Çamlıca Tepesi,L2361473
evi_2016_25,0.288512759,Bangkok--Lumphini Park,L1068940
evi_2016_25,0.218496772,Berlin--Grosser Tiergarten,L1756521
evi_2016_25,0.326375263,Bidadari,L3345783
evi_2016_25,0.099181187,Bosque El Olivar,L826850
evi_2016_25,0.25467037,Bosque los Colomos,L2811916
evi_2016_25,0.239293754,Boston Public Garden,L209928
evi_2016_25,0.153214291,Botanik Parkı,L1930245
evi_2016_25,0.285967021,Cape Town--Company's Garden,L1357648
evi_2016_25,0.247190356,Centennial Olympic Park,L796074
evi_2016_25,0.23475088,Centennial Park (Sydney),L945869
evi_2016_25,0.189360489,"Central Park (Banabitan), Kolkata",L2071440
evi_2016_25,0.276783525,Centre for Environment Education (CEE),L3353044
evi_2016_25,0.241605883,Cerro Santa Lucia,L980718
evi_2016_25,0.263865139,Constitution Gardens and Reflecting Pool,L473521
evi_2016_25,0.504083153,Curitiba -- Jardim Botânico de Curitiba,L3143033
evi_2016_25,0.190667946,Dallas--Pioneer Park/City Hall Park,L1274650
evi_2016_25,0.293136304,Durban Botanical Gardens,L1060493
evi_2016_25,0.22048085,Echo Park,L619767
evi_2016_25,0.250957833,Fergusson College Campus,L3148022
evi_2016_25,0.272517295,Freeway Park (Seattle),L372668
evi_2016_25,0.256752058,Hanoi Botanical Gardens,L1877540
evi_2016_25,0.344908684,Hofgarten Düsseldorf,L3024180
evi_2016_25,0.30511656,Houston--West 11th Street Park,L281716
evi_2016_25,0.171675306,"Humboldt Park, Chicago",L339164
evi_2016_25,0.343405304,Hyde Park,L938388
evi_2016_25,0.248233939,Jakarta--Monas,L1416967
evi_2016_25,0.414941215,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
evi_2016_25,0.262196855,Jardín Botánico José Celestino Mutis,L2404145
evi_2016_25,0.354742727,Johannesburg Botanical Gardens,L1277000
evi_2016_25,0.183081499,Kiwanis Park,L834429
evi_2016_25,0.311098394,Kowloon Park,L1435080
evi_2016_25,0.333702933,Kuala Lumpur City Center Park,L2688240
evi_2016_25,0.246210533,Kunming--Green Lake Park,L957929
evi_2016_25,0.333180099,Lago del Golf,L1471853
evi_2016_25,0.279057335,Lalbagh Botanical Gardens,L2525698
evi_2016_25,0.177528253,Lodi Gardens,L2265071
evi_2016_25,0.251677589,Lucknow Zoological Garden,L3922053
evi_2016_25,0.288891745,"Manila American Cemetery & Memorial, Taguig",L1271819
evi_2016_25,0.287727047,Mt. Davidson,L419667
evi_2016_25,0.312859783,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
evi_2016_25,0.148961701,Namsan Mountain,L1668242
evi_2016_25,0.160976812,Pantoja Park,L1830072
evi_2016_25,0.325000486,Paris--6e arr.--Jardin du Luxembourg,L920889
evi_2016_25,0.355008769,Parque Chico Mendes,L2386097
evi_2016_25,0.243587135,"Parque de El Retiro, Madrid",L1139116
evi_2016_25,0.323173349,"Parque de la Ciutadella, Barcelona",L4026586
evi_2016_25,0.304988137,Parque do Ibirapuera,L1800556
evi_2016_25,0.293509911,Parque Rufino Tamayo,L2875912
evi_2016_25,0.099174912,PN de l'Île-de-la-Visitation,L459787
evi_2016_25,0.139786094,Prospect Park,L109516
evi_2016_25,0.322959641,Royal Botanic Gardens (Melbourne),L919153
evi_2016_25,0.119968332,Safa Park,L982332
evi_2016_25,0.293836629,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
evi_2016_25,0.255041216,"Sanjeevaiah Park, Hyderabad",L2472492
evi_2016_25,0.536997683,Santo Domingo--Jardín Botánico Nacional,L352473
evi_2016_25,0.167872541,Shahr Park (general area),L3158781
evi_2016_25,0.183878282,Shangaii--Century Park,L1029418
evi_2016_25,0.17236207,Shushan Forest Park,L3483931
evi_2016_25,0.213680066,Sun Yat-sen University Campus,L2354294
evi_2016_25,0.193180184,Technopole,L2389491
evi_2016_25,0.110040072,Tiantan Park (Temple of Heaven),L2398320
evi_2016_25,0.006858037,Toronto--Queen's Park,L571677
evi_2016_25,0.243902425,UM Dearborn--Rouge River Bird Observatory,L511955
evi_2016_25,0.288434363,University of Ghana Botanical Gardens,L2265183
evi_2016_25,0.45075865,Villa Borghese,L1017789
evi_2016_25,0.21107491,Viveros de Coyoacán,L294783
evi_2016_25,0.27853117,Woodlands Cemetery,L715912
evi_2016_25,0.339675089,Yangon--Inya Lake,L1899347
