file.name,value,name,LOCALITY_ID
forest_gain_5,6.25E-05,A. D. Barnes Park,L200830
forest_gain_5,1.08E-04,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
forest_gain_5,4.65E-05,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
forest_gain_5,0.005718398,Addis Ababa--Ghion Hotel,L3016220
forest_gain_5,7.61E-05,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
forest_gain_5,6.21E-04,Athens National Gardens,L2694540
forest_gain_5,5.81E-04,Büyük Çamlıca Tepesi,L2361473
forest_gain_5,0,Bangkok--Lumphini Park,L1068940
forest_gain_5,2.03E-04,Berlin--Grosser Tiergarten,L1756521
forest_gain_5,0.003649386,Bidadari,L3345783
forest_gain_5,0,Bosque El Olivar,L826850
forest_gain_5,3.18E-05,Bosque los Colomos,L2811916
forest_gain_5,3.72E-05,Boston Public Garden,L209928
forest_gain_5,1.62E-05,Botanik Parkı,L1930245
forest_gain_5,0.005415343,Cape Town--Company's Garden,L1357648
forest_gain_5,4.22E-04,Centennial Olympic Park,L796074
forest_gain_5,1.91E-04,Centennial Park (Sydney),L945869
forest_gain_5,0,"Central Park (Banabitan), Kolkata",L2071440
forest_gain_5,0,Centre for Environment Education (CEE),L3353044
forest_gain_5,2.67E-05,Cerro Santa Lucia,L980718
forest_gain_5,7.36E-05,Constitution Gardens and Reflecting Pool,L473521
forest_gain_5,1.18E-04,Curitiba -- Jardim Botânico de Curitiba,L3143033
forest_gain_5,3.27E-04,Dallas--Pioneer Park/City Hall Park,L1274650
forest_gain_5,2.83E-04,Durban Botanical Gardens,L1060493
forest_gain_5,0,Echo Park,L619767
forest_gain_5,0,Fergusson College Campus,L3148022
forest_gain_5,3.13E-04,Freeway Park (Seattle),L372668
forest_gain_5,0,Hanoi Botanical Gardens,L1877540
forest_gain_5,1.84E-04,Hofgarten Düsseldorf,L3024180
forest_gain_5,0.001135944,Houston--West 11th Street Park,L281716
forest_gain_5,0,"Humboldt Park, Chicago",L339164
forest_gain_5,3.84E-04,Hyde Park,L938388
forest_gain_5,0,Jakarta--Monas,L1416967
forest_gain_5,0.001417794,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
forest_gain_5,3.14E-04,Jardín Botánico José Celestino Mutis,L2404145
forest_gain_5,9.07E-05,Johannesburg Botanical Gardens,L1277000
forest_gain_5,0,Kiwanis Park,L834429
forest_gain_5,2.24E-04,Kowloon Park,L1435080
forest_gain_5,0.001653735,Kuala Lumpur City Center Park,L2688240
forest_gain_5,0,Kunming--Green Lake Park,L957929
forest_gain_5,1.68E-04,Lago del Golf,L1471853
forest_gain_5,8.75E-06,Lalbagh Botanical Gardens,L2525698
forest_gain_5,6.90E-05,Lodi Gardens,L2265071
forest_gain_5,4.43E-04,Lucknow Zoological Garden,L3922053
forest_gain_5,0.001601907,"Manila American Cemetery & Memorial, Taguig",L1271819
forest_gain_5,9.70E-04,Mt. Davidson,L419667
forest_gain_5,0.003091527,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
forest_gain_5,3.13E-04,Namsan Mountain,L1668242
forest_gain_5,0,Pantoja Park,L1830072
forest_gain_5,1.01E-04,Paris--6e arr.--Jardin du Luxembourg,L920889
forest_gain_5,0.002293016,Parque Chico Mendes,L2386097
forest_gain_5,0.002203674,"Parque de El Retiro, Madrid",L1139116
forest_gain_5,1.47E-04,"Parque de la Ciutadella, Barcelona",L4026586
forest_gain_5,2.33E-05,Parque do Ibirapuera,L1800556
forest_gain_5,1.37E-04,Parque Rufino Tamayo,L2875912
forest_gain_5,1.22E-04,PN de l'Île-de-la-Visitation,L459787
forest_gain_5,5.47E-05,Prospect Park,L109516
forest_gain_5,3.89E-04,Royal Botanic Gardens (Melbourne),L919153
forest_gain_5,0,Safa Park,L982332
forest_gain_5,0,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
forest_gain_5,0,"Sanjeevaiah Park, Hyderabad",L2472492
forest_gain_5,0.003376482,Santo Domingo--Jardín Botánico Nacional,L352473
forest_gain_5,0,Shahr Park (general area),L3158781
forest_gain_5,0,Shangaii--Century Park,L1029418
forest_gain_5,1.61E-05,Shushan Forest Park,L3483931
forest_gain_5,0,Sun Yat-sen University Campus,L2354294
forest_gain_5,0,Technopole,L2389491
forest_gain_5,1.38E-04,Tiantan Park (Temple of Heaven),L2398320
forest_gain_5,6.83E-05,Toronto--Queen's Park,L571677
forest_gain_5,1.08E-04,UM Dearborn--Rouge River Bird Observatory,L511955
forest_gain_5,7.02E-06,University of Ghana Botanical Gardens,L2265183
forest_gain_5,6.11E-04,Villa Borghese,L1017789
forest_gain_5,0,Viveros de Coyoacán,L294783
forest_gain_5,3.20E-05,Woodlands Cemetery,L715912
forest_gain_5,7.84E-05,Yangon--Inya Lake,L1899347
