file.name,value,name,LOCALITY_ID
gls_water_5,,A. D. Barnes Park,L200830
gls_water_5,,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
gls_water_5,,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
gls_water_5,1.690677636,Addis Ababa--Ghion Hotel,L3016220
gls_water_5,,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
gls_water_5,66.48375451,Athens National Gardens,L2694540
gls_water_5,1.25128459,Büyük Çamlıca Tepesi,L2361473
gls_water_5,1.492212659,Bangkok--Lumphini Park,L1068940
gls_water_5,1.97711844,Berlin--Grosser Tiergarten,L1756521
gls_water_5,130.7794375,Bidadari,L3345783
gls_water_5,200.913889,Bosque El Olivar,L826850
gls_water_5,,Bosque los Colomos,L2811916
gls_water_5,1.132396828,Boston Public Garden,L209928
gls_water_5,2.724735987,Botanik Parkı,L1930245
gls_water_5,43.24178078,Cape Town--Company's Garden,L1357648
gls_water_5,2.204900718,Centennial Olympic Park,L796074
gls_water_5,,Centennial Park (Sydney),L945869
gls_water_5,1.247420156,"Central Park (Banabitan), Kolkata",L2071440
gls_water_5,1.000474507,Centre for Environment Education (CEE),L3353044
gls_water_5,,Cerro Santa Lucia,L980718
gls_water_5,,Constitution Gardens and Reflecting Pool,L473521
gls_water_5,4.291593725,Curitiba -- Jardim Botânico de Curitiba,L3143033
gls_water_5,,Dallas--Pioneer Park/City Hall Park,L1274650
gls_water_5,1.322790035,Durban Botanical Gardens,L1060493
gls_water_5,1.120209464,Echo Park,L619767
gls_water_5,,Fergusson College Campus,L3148022
gls_water_5,1.972667961,Freeway Park (Seattle),L372668
gls_water_5,1.216320942,Hanoi Botanical Gardens,L1877540
gls_water_5,1.363982783,Hofgarten Düsseldorf,L3024180
gls_water_5,,Houston--West 11th Street Park,L281716
gls_water_5,,"Humboldt Park, Chicago",L339164
gls_water_5,1.189465896,Hyde Park,L938388
gls_water_5,,Jakarta--Monas,L1416967
gls_water_5,57.53939131,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
gls_water_5,,Jardín Botánico José Celestino Mutis,L2404145
gls_water_5,,Johannesburg Botanical Gardens,L1277000
gls_water_5,1.009195636,Kiwanis Park,L834429
gls_water_5,1.208506833,Kowloon Park,L1435080
gls_water_5,,Kuala Lumpur City Center Park,L2688240
gls_water_5,10.38330497,Kunming--Green Lake Park,L957929
gls_water_5,25.32681362,Lago del Golf,L1471853
gls_water_5,1.004401046,Lalbagh Botanical Gardens,L2525698
gls_water_5,1.000251838,Lodi Gardens,L2265071
gls_water_5,1.135439507,Lucknow Zoological Garden,L3922053
gls_water_5,,"Manila American Cemetery & Memorial, Taguig",L1271819
gls_water_5,,Mt. Davidson,L419667
gls_water_5,3.490369181,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
gls_water_5,,Namsan Mountain,L1668242
gls_water_5,21.45205759,Pantoja Park,L1830072
gls_water_5,2.060381619,Paris--6e arr.--Jardin du Luxembourg,L920889
gls_water_5,,Parque Chico Mendes,L2386097
gls_water_5,,"Parque de El Retiro, Madrid",L1139116
gls_water_5,6.694594826,"Parque de la Ciutadella, Barcelona",L4026586
gls_water_5,1.574751321,Parque do Ibirapuera,L1800556
gls_water_5,,Parque Rufino Tamayo,L2875912
gls_water_5,,PN de l'Île-de-la-Visitation,L459787
gls_water_5,2.642849823,Prospect Park,L109516
gls_water_5,11.02527915,Royal Botanic Gardens (Melbourne),L919153
gls_water_5,1.014872955,Safa Park,L982332
gls_water_5,96.07168554,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
gls_water_5,,"Sanjeevaiah Park, Hyderabad",L2472492
gls_water_5,93.63532393,Santo Domingo--Jardín Botánico Nacional,L352473
gls_water_5,1.000073143,Shahr Park (general area),L3158781
gls_water_5,,Shangaii--Century Park,L1029418
gls_water_5,,Shushan Forest Park,L3483931
gls_water_5,4.31218002,Sun Yat-sen University Campus,L2354294
gls_water_5,,Technopole,L2389491
gls_water_5,,Tiantan Park (Temple of Heaven),L2398320
gls_water_5,,Toronto--Queen's Park,L571677
gls_water_5,,UM Dearborn--Rouge River Bird Observatory,L511955
gls_water_5,1,University of Ghana Botanical Gardens,L2265183
gls_water_5,,Villa Borghese,L1017789
gls_water_5,1.433750253,Viveros de Coyoacán,L294783
gls_water_5,,Woodlands Cemetery,L715912
gls_water_5,1.214381926,Yangon--Inya Lake,L1899347
