file.name,value,name,LOCALITY_ID
evi_2014_15,0.233740937,A. D. Barnes Park,L200830
evi_2014_15,0.090288299,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
evi_2014_15,0.377724137,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
evi_2014_15,0.23987608,Addis Ababa--Ghion Hotel,L3016220
evi_2014_15,0.091141398,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
evi_2014_15,0.203468743,Athens National Gardens,L2694540
evi_2014_15,0.212220374,Büyük Çamlıca Tepesi,L2361473
evi_2014_15,0.310092567,Bangkok--Lumphini Park,L1068940
evi_2014_15,0.294134229,Berlin--Grosser Tiergarten,L1756521
evi_2014_15,0.386109291,Bidadari,L3345783
evi_2014_15,0.16368553,Bosque El Olivar,L826850
evi_2014_15,0.215415459,Bosque los Colomos,L2811916
evi_2014_15,0.192382856,Boston Public Garden,L209928
evi_2014_15,0.207588942,Botanik Parkı,L1930245
evi_2014_15,0.219708432,Cape Town--Company's Garden,L1357648
evi_2014_15,0.242570442,Centennial Olympic Park,L796074
evi_2014_15,0.221337076,Centennial Park (Sydney),L945869
evi_2014_15,0.254337336,"Central Park (Banabitan), Kolkata",L2071440
evi_2014_15,0.271151186,Centre for Environment Education (CEE),L3353044
evi_2014_15,0.194312656,Cerro Santa Lucia,L980718
evi_2014_15,0.198218404,Constitution Gardens and Reflecting Pool,L473521
evi_2014_15,0.378295548,Curitiba -- Jardim Botânico de Curitiba,L3143033
evi_2014_15,0.218326822,Dallas--Pioneer Park/City Hall Park,L1274650
evi_2014_15,0.299740274,Durban Botanical Gardens,L1060493
evi_2014_15,0.204448333,Echo Park,L619767
evi_2014_15,0.274090506,Fergusson College Campus,L3148022
evi_2014_15,0.196029914,Freeway Park (Seattle),L372668
evi_2014_15,0.224781243,Hanoi Botanical Gardens,L1877540
evi_2014_15,0.385527083,Hofgarten Düsseldorf,L3024180
evi_2014_15,0.325075736,Houston--West 11th Street Park,L281716
evi_2014_15,0.01230743,"Humboldt Park, Chicago",L339164
evi_2014_15,0.332560424,Hyde Park,L938388
evi_2014_15,0.231029147,Jakarta--Monas,L1416967
evi_2014_15,0.418229898,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
evi_2014_15,0.306749692,Jardín Botánico José Celestino Mutis,L2404145
evi_2014_15,0.328756323,Johannesburg Botanical Gardens,L1277000
evi_2014_15,0.18810387,Kiwanis Park,L834429
evi_2014_15,0.404229816,Kowloon Park,L1435080
evi_2014_15,0.359400097,Kuala Lumpur City Center Park,L2688240
evi_2014_15,0.201238035,Kunming--Green Lake Park,L957929
evi_2014_15,0.267386832,Lago del Golf,L1471853
evi_2014_15,0.242714554,Lalbagh Botanical Gardens,L2525698
evi_2014_15,0.201623442,Lodi Gardens,L2265071
evi_2014_15,0.248521412,Lucknow Zoological Garden,L3922053
evi_2014_15,0.178232567,"Manila American Cemetery & Memorial, Taguig",L1271819
evi_2014_15,0.221120835,Mt. Davidson,L419667
evi_2014_15,0.361825616,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
evi_2014_15,0.055061643,Namsan Mountain,L1668242
evi_2014_15,0.201651399,Pantoja Park,L1830072
evi_2014_15,0.188449762,Paris--6e arr.--Jardin du Luxembourg,L920889
evi_2014_15,0.535713754,Parque Chico Mendes,L2386097
evi_2014_15,0.333809223,"Parque de El Retiro, Madrid",L1139116
evi_2014_15,0.281003814,"Parque de la Ciutadella, Barcelona",L4026586
evi_2014_15,0.222062013,Parque do Ibirapuera,L1800556
evi_2014_15,0.212320646,Parque Rufino Tamayo,L2875912
evi_2014_15,0.127441536,PN de l'Île-de-la-Visitation,L459787
evi_2014_15,0.047048003,Prospect Park,L109516
evi_2014_15,0.210819098,Royal Botanic Gardens (Melbourne),L919153
evi_2014_15,0.126316425,Safa Park,L982332
evi_2014_15,0.302667585,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
evi_2014_15,0.20707491,"Sanjeevaiah Park, Hyderabad",L2472492
evi_2014_15,0.49452474,Santo Domingo--Jardín Botánico Nacional,L352473
evi_2014_15,0.085548755,Shahr Park (general area),L3158781
evi_2014_15,0.135864472,Shangaii--Century Park,L1029418
evi_2014_15,0.13649724,Shushan Forest Park,L3483931
evi_2014_15,0.20021993,Sun Yat-sen University Campus,L2354294
evi_2014_15,0.148740077,Technopole,L2389491
evi_2014_15,0.105321105,Tiantan Park (Temple of Heaven),L2398320
evi_2014_15,0.179329933,Toronto--Queen's Park,L571677
evi_2014_15,0.216430246,UM Dearborn--Rouge River Bird Observatory,L511955
evi_2014_15,0.295129195,University of Ghana Botanical Gardens,L2265183
evi_2014_15,0.377604981,Villa Borghese,L1017789
evi_2014_15,0.155295756,Viveros de Coyoacán,L294783
evi_2014_15,0.135068297,Woodlands Cemetery,L715912
evi_2014_15,0.364981504,Yangon--Inya Lake,L1899347
