Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
813.4974407,15,L806691,13.13482194,0.157176527,evi_2017_15
790.6461919,15,L213077,11.85319233,0.334629151,evi_2017_15
699.5155119,15,L453412,12.2642329,0.142882402,evi_2017_15
688.9089054,15,L938388,11.58241077,0.323644242,evi_2017_15
671.2881167,15,L109439,14.74217781,0.055643285,evi_2017_15
619.2460061,15,L191106,13.03461987,0.089444529,evi_2017_15
429.9630584,15,L109516,9.806453823,0.0328083,evi_2017_15
409.6210974,15,L923357,8.123751837,0.177530062,evi_2017_15
380.0643874,15,L663110,7.900171122,0.163532109,evi_2017_15
357.1702097,15,L451783,11.86242988,0.227738207,evi_2017_15
353.4472499,15,L11,7.647478528,0.112041351,evi_2017_15
331.5524457,15,L285884,7.351110814,0.032338209,evi_2017_15
319.0909037,15,L684445,8.24315392,0.237655099,evi_2017_15
281.8079743,15,L945869,7.917616955,0.147559919,evi_2017_15
274.5874481,15,L165056,6.777135664,0.157228903,evi_2017_15
269.8380529,15,L271279,7.179805207,0.347530281,evi_2017_15
243.095914,15,L1025768,6.201269384,0.237260467,evi_2017_15
228.3071132,15,L298724,6.3240743,0.1198372,evi_2017_15
221.92285,15,L797450,6.048442742,0.135815492,evi_2017_15
218.2688057,15,L340861,10.2951507,0.383427975,evi_2017_15
217.5057554,15,L732477,6.138825815,0.209715384,evi_2017_15
217.2872915,15,L268530,8.669759547,0.333929728,evi_2017_15
203.8869419,15,L2468319,7.213091601,0.150005157,evi_2017_15
202.9866002,15,L456488,7.538904307,0.135702794,evi_2017_15
196.1479739,15,L252263,6.378792977,0.233418323,evi_2017_15
195.1515519,15,L945563,7.491118318,0.320722322,evi_2017_15
193.0574293,15,L919153,6.271403326,0.234940253,evi_2017_15
180.2503623,15,L681420,5.608294963,0.277184796,evi_2017_15
172.2545638,15,L207391,6.151848882,0.190764167,evi_2017_15
155.706136,15,L486301,6.404377203,0.312293105,evi_2017_15
155.6967854,15,L305312,6.625675685,0.256106006,evi_2017_15
148.6685496,15,L796467,6.166389618,0.179321184,evi_2017_15
147.3843367,15,L447381,5.598376426,0.306948403,evi_2017_15
144.3757788,15,L275836,5.691863051,0.212036302,evi_2017_15
144.0509166,15,L339164,5.331651204,0.153189573,evi_2017_15
139.3080943,15,L620970,4.775986637,0.26152672,evi_2017_15
129.7488156,15,L148362,6.075697426,0.310040669,evi_2017_15
128.4767034,15,L152123,4.777319255,0.192017487,evi_2017_15
127.8079008,15,L108460,4.815162072,0.164576899,evi_2017_15
108.0565067,15,L2205485,8.383377561,0.321467288,evi_2017_15
107.8573867,15,L1215121,4.771933533,0.343885142,evi_2017_15
105.5116638,15,L343087,5.393706839,0.215358363,evi_2017_15
102.340698,15,L108479,4.021158782,0.238662858,evi_2017_15
96.84988008,15,L250145,4.795861467,0.160519291,evi_2017_15
95.16645998,15,L458792,5.883104866,0.272500862,evi_2017_15
93.73892113,15,L1743685,4.17784758,0.242656592,evi_2017_15
89.83552913,15,L299578,4.033944585,0.246218125,evi_2017_15
83.63361068,15,L807500,6.47805541,0.341720504,evi_2017_15
83.33875035,15,L2390329,4.021541947,0.171417043,evi_2017_15
82.2925033,15,L2041660,3.686770374,0.200991931,evi_2017_15
81.43173982,15,L1163678,4.129937205,0.191452999,evi_2017_15
