file.name,value,name,LOCALITY_ID
forest_gain_15,8.26E-04,A. D. Barnes Park,L200830
forest_gain_15,3.52E-04,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
forest_gain_15,4.09E-04,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
forest_gain_15,0.016256896,Addis Ababa--Ghion Hotel,L3016220
forest_gain_15,7.25E-05,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
forest_gain_15,3.88E-04,Athens National Gardens,L2694540
forest_gain_15,0.002782787,Büyük Çamlıca Tepesi,L2361473
forest_gain_15,2.34E-06,Bangkok--Lumphini Park,L1068940
forest_gain_15,0.003510462,Berlin--Grosser Tiergarten,L1756521
forest_gain_15,0.014045783,Bidadari,L3345783
forest_gain_15,0,Bosque El Olivar,L826850
forest_gain_15,3.74E-05,Bosque los Colomos,L2811916
forest_gain_15,1.76E-04,Boston Public Garden,L209928
forest_gain_15,2.32E-04,Botanik Parkı,L1930245
forest_gain_15,0.007506761,Cape Town--Company's Garden,L1357648
forest_gain_15,0.003971083,Centennial Olympic Park,L796074
forest_gain_15,0.001370013,Centennial Park (Sydney),L945869
forest_gain_15,0,"Central Park (Banabitan), Kolkata",L2071440
forest_gain_15,0,Centre for Environment Education (CEE),L3353044
forest_gain_15,6.42E-05,Cerro Santa Lucia,L980718
forest_gain_15,1.35E-04,Constitution Gardens and Reflecting Pool,L473521
forest_gain_15,0.002973374,Curitiba -- Jardim Botânico de Curitiba,L3143033
forest_gain_15,0.001670565,Dallas--Pioneer Park/City Hall Park,L1274650
forest_gain_15,3.08E-04,Durban Botanical Gardens,L1060493
forest_gain_15,2.14E-04,Echo Park,L619767
forest_gain_15,0,Fergusson College Campus,L3148022
forest_gain_15,0.001353572,Freeway Park (Seattle),L372668
forest_gain_15,1.04E-04,Hanoi Botanical Gardens,L1877540
forest_gain_15,0.001770558,Hofgarten Düsseldorf,L3024180
forest_gain_15,0.001564452,Houston--West 11th Street Park,L281716
forest_gain_15,7.90E-06,"Humboldt Park, Chicago",L339164
forest_gain_15,8.69E-04,Hyde Park,L938388
forest_gain_15,1.01E-05,Jakarta--Monas,L1416967
forest_gain_15,0.008741786,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
forest_gain_15,0.001977595,Jardín Botánico José Celestino Mutis,L2404145
forest_gain_15,1.45E-04,Johannesburg Botanical Gardens,L1277000
forest_gain_15,5.94E-06,Kiwanis Park,L834429
forest_gain_15,0.003931566,Kowloon Park,L1435080
forest_gain_15,0.008211094,Kuala Lumpur City Center Park,L2688240
forest_gain_15,6.81E-04,Kunming--Green Lake Park,L957929
forest_gain_15,1.74E-04,Lago del Golf,L1471853
forest_gain_15,1.36E-05,Lalbagh Botanical Gardens,L2525698
forest_gain_15,1.48E-05,Lodi Gardens,L2265071
forest_gain_15,2.02E-04,Lucknow Zoological Garden,L3922053
forest_gain_15,5.36E-04,"Manila American Cemetery & Memorial, Taguig",L1271819
forest_gain_15,0.001853294,Mt. Davidson,L419667
forest_gain_15,0.003033562,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
forest_gain_15,2.94E-04,Namsan Mountain,L1668242
forest_gain_15,5.69E-05,Pantoja Park,L1830072
forest_gain_15,6.76E-04,Paris--6e arr.--Jardin du Luxembourg,L920889
forest_gain_15,0.001930899,Parque Chico Mendes,L2386097
forest_gain_15,0.001287878,"Parque de El Retiro, Madrid",L1139116
forest_gain_15,7.56E-04,"Parque de la Ciutadella, Barcelona",L4026586
forest_gain_15,4.72E-04,Parque do Ibirapuera,L1800556
forest_gain_15,1.56E-04,Parque Rufino Tamayo,L2875912
forest_gain_15,2.60E-04,PN de l'Île-de-la-Visitation,L459787
forest_gain_15,5.94E-05,Prospect Park,L109516
forest_gain_15,5.94E-04,Royal Botanic Gardens (Melbourne),L919153
forest_gain_15,0,Safa Park,L982332
forest_gain_15,8.51E-05,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
forest_gain_15,1.01E-06,"Sanjeevaiah Park, Hyderabad",L2472492
forest_gain_15,0.011270237,Santo Domingo--Jardín Botánico Nacional,L352473
forest_gain_15,0,Shahr Park (general area),L3158781
forest_gain_15,0,Shangaii--Century Park,L1029418
forest_gain_15,3.45E-06,Shushan Forest Park,L3483931
forest_gain_15,0.001898578,Sun Yat-sen University Campus,L2354294
forest_gain_15,0,Technopole,L2389491
forest_gain_15,2.71E-04,Tiantan Park (Temple of Heaven),L2398320
forest_gain_15,3.58E-05,Toronto--Queen's Park,L571677
forest_gain_15,5.99E-05,UM Dearborn--Rouge River Bird Observatory,L511955
forest_gain_15,5.13E-04,University of Ghana Botanical Gardens,L2265183
forest_gain_15,6.36E-04,Villa Borghese,L1017789
forest_gain_15,1.13E-05,Viveros de Coyoacán,L294783
forest_gain_15,2.75E-04,Woodlands Cemetery,L715912
forest_gain_15,1.88E-05,Yangon--Inya Lake,L1899347
