file.name,value,name,LOCALITY_ID
forest_loss_15,0.024236316,A. D. Barnes Park,L200830
forest_loss_15,0.001408593,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
forest_loss_15,0.003183823,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
forest_loss_15,0.015612517,Addis Ababa--Ghion Hotel,L3016220
forest_loss_15,0.001043681,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
forest_loss_15,0.004629475,Athens National Gardens,L2694540
forest_loss_15,0.015312496,Büyük Çamlıca Tepesi,L2361473
forest_loss_15,0.004264155,Bangkok--Lumphini Park,L1068940
forest_loss_15,0.001902224,Berlin--Grosser Tiergarten,L1756521
forest_loss_15,0.016290388,Bidadari,L3345783
forest_loss_15,0,Bosque El Olivar,L826850
forest_loss_15,0.003737453,Bosque los Colomos,L2811916
forest_loss_15,0.002796861,Boston Public Garden,L209928
forest_loss_15,0.001033067,Botanik Parkı,L1930245
forest_loss_15,0.019989152,Cape Town--Company's Garden,L1357648
forest_loss_15,0.031170945,Centennial Olympic Park,L796074
forest_loss_15,0.00410105,Centennial Park (Sydney),L945869
forest_loss_15,7.83E-05,"Central Park (Banabitan), Kolkata",L2071440
forest_loss_15,2.13E-05,Centre for Environment Education (CEE),L3353044
forest_loss_15,2.25E-04,Cerro Santa Lucia,L980718
forest_loss_15,0.008744227,Constitution Gardens and Reflecting Pool,L473521
forest_loss_15,0.021604109,Curitiba -- Jardim Botânico de Curitiba,L3143033
forest_loss_15,0.011930681,Dallas--Pioneer Park/City Hall Park,L1274650
forest_loss_15,0.007908687,Durban Botanical Gardens,L1060493
forest_loss_15,0.004147544,Echo Park,L619767
forest_loss_15,2.24E-06,Fergusson College Campus,L3148022
forest_loss_15,0.004469855,Freeway Park (Seattle),L372668
forest_loss_15,2.61E-04,Hanoi Botanical Gardens,L1877540
forest_loss_15,0.005712267,Hofgarten Düsseldorf,L3024180
forest_loss_15,0.017774543,Houston--West 11th Street Park,L281716
forest_loss_15,4.12E-04,"Humboldt Park, Chicago",L339164
forest_loss_15,5.35E-04,Hyde Park,L938388
forest_loss_15,3.16E-04,Jakarta--Monas,L1416967
forest_loss_15,0.043460068,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
forest_loss_15,0.029667568,Jardín Botánico José Celestino Mutis,L2404145
forest_loss_15,0.008028008,Johannesburg Botanical Gardens,L1277000
forest_loss_15,5.84E-05,Kiwanis Park,L834429
forest_loss_15,0.003223632,Kowloon Park,L1435080
forest_loss_15,0.047347661,Kuala Lumpur City Center Park,L2688240
forest_loss_15,0.006725074,Kunming--Green Lake Park,L957929
forest_loss_15,6.74E-04,Lago del Golf,L1471853
forest_loss_15,9.08E-04,Lalbagh Botanical Gardens,L2525698
forest_loss_15,4.25E-04,Lodi Gardens,L2265071
forest_loss_15,0.001534187,Lucknow Zoological Garden,L3922053
forest_loss_15,0.001839814,"Manila American Cemetery & Memorial, Taguig",L1271819
forest_loss_15,0.009491495,Mt. Davidson,L419667
forest_loss_15,0.006668773,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
forest_loss_15,0.003164568,Namsan Mountain,L1668242
forest_loss_15,6.02E-04,Pantoja Park,L1830072
forest_loss_15,0.002358901,Paris--6e arr.--Jardin du Luxembourg,L920889
forest_loss_15,0.018332558,Parque Chico Mendes,L2386097
forest_loss_15,0.002942961,"Parque de El Retiro, Madrid",L1139116
forest_loss_15,0.00339399,"Parque de la Ciutadella, Barcelona",L4026586
forest_loss_15,0.002040357,Parque do Ibirapuera,L1800556
forest_loss_15,0.018801226,Parque Rufino Tamayo,L2875912
forest_loss_15,0.006825604,PN de l'Île-de-la-Visitation,L459787
forest_loss_15,9.63E-04,Prospect Park,L109516
forest_loss_15,0.003076642,Royal Botanic Gardens (Melbourne),L919153
forest_loss_15,5.47E-06,Safa Park,L982332
forest_loss_15,0.002522431,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
forest_loss_15,5.72E-04,"Sanjeevaiah Park, Hyderabad",L2472492
forest_loss_15,0.030658077,Santo Domingo--Jardín Botánico Nacional,L352473
forest_loss_15,1.35E-04,Shahr Park (general area),L3158781
forest_loss_15,5.89E-06,Shangaii--Century Park,L1029418
forest_loss_15,0.001060865,Shushan Forest Park,L3483931
forest_loss_15,0.002514612,Sun Yat-sen University Campus,L2354294
forest_loss_15,3.26E-04,Technopole,L2389491
forest_loss_15,0.001023708,Tiantan Park (Temple of Heaven),L2398320
forest_loss_15,2.73E-04,Toronto--Queen's Park,L571677
forest_loss_15,0.001661815,UM Dearborn--Rouge River Bird Observatory,L511955
forest_loss_15,0.02811354,University of Ghana Botanical Gardens,L2265183
forest_loss_15,0.001875006,Villa Borghese,L1017789
forest_loss_15,5.22E-04,Viveros de Coyoacán,L294783
forest_loss_15,0.002186564,Woodlands Cemetery,L715912
forest_loss_15,7.27E-04,Yangon--Inya Lake,L1899347
