Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
813.4974407,25,L806691,13.13482194,0.006636061,forest_loss_25
790.6461919,25,L213077,11.85319233,0.008052816,forest_loss_25
699.5155119,25,L453412,12.2642329,0.020483044,forest_loss_25
688.9089054,25,L938388,11.58241077,0.001127353,forest_loss_25
671.2881167,25,L109439,14.74217781,0.003332307,forest_loss_25
619.2460061,25,L191106,13.03461987,0.002036003,forest_loss_25
429.9630584,25,L109516,9.806453823,0.001067955,forest_loss_25
409.6210974,25,L923357,8.123751837,0.034882702,forest_loss_25
380.0643874,25,L663110,7.900171122,0.019361892,forest_loss_25
357.1702097,25,L451783,11.86242988,0.011393103,forest_loss_25
353.4472499,25,L11,7.647478528,7.35E-04,forest_loss_25
331.5524457,25,L285884,7.351110814,0.001062717,forest_loss_25
319.0909037,25,L684445,8.24315392,0.001495945,forest_loss_25
281.8079743,25,L945869,7.917616955,0.005819884,forest_loss_25
274.5874481,25,L165056,6.777135664,0.00839283,forest_loss_25
269.8380529,25,L271279,7.179805207,0.01700419,forest_loss_25
243.095914,25,L1025768,6.201269384,0.005610064,forest_loss_25
228.3071132,25,L298724,6.3240743,9.69E-04,forest_loss_25
221.92285,25,L797450,6.048442742,4.93E-05,forest_loss_25
218.2688057,25,L340861,10.2951507,0.013038399,forest_loss_25
217.5057554,25,L732477,6.138825815,3.95E-04,forest_loss_25
217.2872915,25,L268530,8.669759547,0.00752645,forest_loss_25
203.8869419,25,L2468319,7.213091601,0.004010496,forest_loss_25
202.9866002,25,L456488,7.538904307,4.27E-05,forest_loss_25
196.1479739,25,L252263,6.378792977,3.91E-04,forest_loss_25
195.1515519,25,L945563,7.491118318,0.001120433,forest_loss_25
193.0574293,25,L919153,6.271403326,0.002801769,forest_loss_25
180.2503623,25,L681420,5.608294963,0.003055516,forest_loss_25
172.2545638,25,L207391,6.151848882,0.007131948,forest_loss_25
155.706136,25,L486301,6.404377203,0.003420882,forest_loss_25
155.6967854,25,L305312,6.625675685,0.042038645,forest_loss_25
148.6685496,25,L796467,6.166389618,0.00642986,forest_loss_25
147.3843367,25,L447381,5.598376426,0.015410349,forest_loss_25
144.3757788,25,L275836,5.691863051,0.007793777,forest_loss_25
144.0509166,25,L339164,5.331651204,0.001109075,forest_loss_25
139.3080943,25,L620970,4.775986637,7.62E-04,forest_loss_25
129.7488156,25,L148362,6.075697426,0.043342044,forest_loss_25
128.4767034,25,L152123,4.777319255,0.002946625,forest_loss_25
127.8079008,25,L108460,4.815162072,0.001283033,forest_loss_25
108.0565067,25,L2205485,8.383377561,0.011577368,forest_loss_25
107.8573867,25,L1215121,4.771933533,0.00798757,forest_loss_25
105.5116638,25,L343087,5.393706839,5.83E-04,forest_loss_25
102.340698,25,L108479,4.021158782,0.001565643,forest_loss_25
96.84988008,25,L250145,4.795861467,3.58E-04,forest_loss_25
95.16645998,25,L458792,5.883104866,0.016058404,forest_loss_25
93.73892113,25,L1743685,4.17784758,0.001405164,forest_loss_25
89.83552913,25,L299578,4.033944585,0.001245912,forest_loss_25
83.63361068,25,L807500,6.47805541,0.020473606,forest_loss_25
83.33875035,25,L2390329,4.021541947,0.001806755,forest_loss_25
82.2925033,25,L2041660,3.686770374,0.003946909,forest_loss_25
81.43173982,25,L1163678,4.129937205,0.003016919,forest_loss_25
77.29235124,25,L1160385,5.247531585,0.009127381,forest_loss_25
76.90147549,25,L834429,5.118132766,1.12E-04,forest_loss_25
75.65575155,25,L449982,3.474831634,0.014043797,forest_loss_25
75.04806455,25,L342893,4.211326752,0.019274695,forest_loss_25
74.99682478,25,L590796,5.473325974,0.003231614,forest_loss_25
69.36152985,25,L889273,3.514993998,0.001354418,forest_loss_25
65.17827951,25,L618326,3.798472575,0.013757197,forest_loss_25
62.48892426,25,L227274,3.622011139,7.21E-04,forest_loss_25
60.3667342,25,L232994,3.965223168,4.34E-04,forest_loss_25
60.04776679,25,L710606,4.637691061,0.006605852,forest_loss_25
59.78429576,25,L196159,3.463815592,0.010473787,forest_loss_25
59.35114917,25,L711719,3.239175882,0.010816481,forest_loss_25
55.2938267,25,L209928,3.442792364,0.006221619,forest_loss_25
48.74494516,25,L1409960,4.207193165,0.001727438,forest_loss_25
41.52692277,25,L1070558,3.403294442,1.21E-06,forest_loss_25
40.88619848,25,L1448462,6.585374467,0.001398964,forest_loss_25
38.9454954,25,L250958,2.646238463,0.003078944,forest_loss_25
38.88254494,25,L715912,2.614425012,0.004322358,forest_loss_25
37.42166983,25,L883813,2.56518368,7.63E-04,forest_loss_25
34.0470971,25,L588572,3.552011792,0.002456104,forest_loss_25
33.92931433,25,L634615,3.061784846,0.023255365,forest_loss_25
33.66621996,25,L571677,2.897408564,7.58E-04,forest_loss_25
32.9713361,25,L2807001,2.898828457,9.21E-04,forest_loss_25
31.32391737,25,L3187356,4.290778941,0.002138303,forest_loss_25
30.75045904,25,L200830,2.589964103,0.018618506,forest_loss_25
28.71537021,25,L1150366,2.375736161,0.00177478,forest_loss_25
27.44461616,25,L2161102,2.088819629,0.003067946,forest_loss_25
27.25148609,25,L419667,1.9939401,0.003014832,forest_loss_25
26.91715066,25,L2875912,2.256211723,0.029467711,forest_loss_25
25.03211447,25,L1896576,1.918820091,0.018649868,forest_loss_25
23.72710521,25,L454170,2.106393862,5.03E-04,forest_loss_25
21.74399686,25,L2921580,3.802309809,8.43E-04,forest_loss_25
20.295477,25,L1007610,2.118178555,0.024720311,forest_loss_25
19.00362924,25,L834368,3.117662103,0.02593555,forest_loss_25
18.46289688,25,L304833,1.786136513,0.001159992,forest_loss_25
18.00116307,25,L312198,1.80251158,0.010653565,forest_loss_25
16.03374622,25,L385285,1.731909734,1.26E-04,forest_loss_25
15.82612815,25,L910358,1.74843709,0.001253839,forest_loss_25
14.98169863,25,L127353,2.211383781,0.044344899,forest_loss_25
14.69443918,25,L2921596,2.802077398,7.80E-04,forest_loss_25
12.94475035,25,L246035,1.63351686,0.00176281,forest_loss_25
12.06031765,25,L1877656,1.730353462,0.020869479,forest_loss_25
11.83772529,25,L2314029,1.803885894,0.004395744,forest_loss_25
11.61341834,25,L796074,1.625463791,0.05832416,forest_loss_25
