Area,BUFF_DIST,LOCALITY_I,Perimeter,value,file.name
813.4974407,15,L806691,13.13482194,14.95623761,gls_tree_15
790.6461919,15,L213077,11.85319233,11.06313688,gls_tree_15
699.5155119,15,L453412,12.2642329,13.38801542,gls_tree_15
688.9089054,15,L938388,11.58241077,13.92296426,gls_tree_15
671.2881167,15,L109439,14.74217781,11.70086569,gls_tree_15
619.2460061,15,L191106,13.03461987,14.0705945,gls_tree_15
429.9630584,15,L109516,9.806453823,10.67057472,gls_tree_15
409.6210974,15,L923357,8.123751837,7.883320587,gls_tree_15
380.0643874,15,L663110,7.900171122,30.51996875,gls_tree_15
357.1702097,15,L451783,11.86242988,34.66693829,gls_tree_15
353.4472499,15,L11,7.647478528,13.63897415,gls_tree_15
331.5524457,15,L285884,7.351110814,11.18378029,gls_tree_15
319.0909037,15,L684445,8.24315392,3.589209824,gls_tree_15
281.8079743,15,L945869,7.917616955,18.0320145,gls_tree_15
274.5874481,15,L165056,6.777135664,13.91635615,gls_tree_15
269.8380529,15,L271279,7.179805207,26.07703343,gls_tree_15
243.095914,15,L1025768,6.201269384,18.25420763,gls_tree_15
228.3071132,15,L298724,6.3240743,11.85642484,gls_tree_15
221.92285,15,L797450,6.048442742,0.355932772,gls_tree_15
218.2688057,15,L340861,10.2951507,23.00167159,gls_tree_15
217.5057554,15,L732477,6.138825815,3.618883386,gls_tree_15
217.2872915,15,L268530,8.669759547,10.51820404,gls_tree_15
203.8869419,15,L2468319,7.213091601,15.63856037,gls_tree_15
202.9866002,15,L456488,7.538904307,0.378341437,gls_tree_15
196.1479739,15,L252263,6.378792977,14.68291383,gls_tree_15
195.1515519,15,L945563,7.491118318,14.09572996,gls_tree_15
193.0574293,15,L919153,6.271403326,11.70898769,gls_tree_15
180.2503623,15,L681420,5.608294963,21.66769946,gls_tree_15
172.2545638,15,L207391,6.151848882,29.42076198,gls_tree_15
155.706136,15,L486301,6.404377203,7.517624903,gls_tree_15
155.6967854,15,L305312,6.625675685,17.41423313,gls_tree_15
148.6685496,15,L796467,6.166389618,6.006779089,gls_tree_15
147.3843367,15,L447381,5.598376426,21.80234586,gls_tree_15
144.3757788,15,L275836,5.691863051,28.47994345,gls_tree_15
144.0509166,15,L339164,5.331651204,9.54329571,gls_tree_15
139.3080943,15,L620970,4.775986637,7.945150778,gls_tree_15
129.7488156,15,L148362,6.075697426,19.92875771,gls_tree_15
128.4767034,15,L152123,4.777319255,12.21940918,gls_tree_15
127.8079008,15,L108460,4.815162072,8.933290197,gls_tree_15
108.0565067,15,L2205485,8.383377561,13.14487693,gls_tree_15
107.8573867,15,L1215121,4.771933533,10.58926423,gls_tree_15
105.5116638,15,L343087,5.393706839,4.359666365,gls_tree_15
102.340698,15,L108479,4.021158782,10.04061213,gls_tree_15
96.84988008,15,L250145,4.795861467,0.560060172,gls_tree_15
95.16645998,15,L458792,5.883104866,9.937820641,gls_tree_15
93.73892113,15,L1743685,4.17784758,4.782681284,gls_tree_15
89.83552913,15,L299578,4.033944585,5.246669212,gls_tree_15
83.63361068,15,L807500,6.47805541,22.10900913,gls_tree_15
83.33875035,15,L2390329,4.021541947,5.231794724,gls_tree_15
82.2925033,15,L2041660,3.686770374,12.96185676,gls_tree_15
