file.name,value,name,LOCALITY_ID
gls_tree_5,6.495591199,A. D. Barnes Park,L200830
gls_tree_5,4.623967941,大阪市--大阪城/大阪城公園 (Osaka--Osaka Castle / Osaka Castle Park),L1123077
gls_tree_5,,台北--大安森林公園(Taipei--Da'an Forest Park),L2319930
gls_tree_5,6.039570934,Addis Ababa--Ghion Hotel,L3016220
gls_tree_5,7.261261261,江戸川区--葛西臨海公園 (Edogawa Ward--Kasai Rinkai Park),L1896754
gls_tree_5,3.026078804,Athens National Gardens,L2694540
gls_tree_5,8.562321575,Büyük Çamlıca Tepesi,L2361473
gls_tree_5,7.105765148,Bangkok--Lumphini Park,L1068940
gls_tree_5,13.59837507,Berlin--Grosser Tiergarten,L1756521
gls_tree_5,9.046481398,Bidadari,L3345783
gls_tree_5,1.428469989,Bosque El Olivar,L826850
gls_tree_5,3.682880229,Bosque los Colomos,L2811916
gls_tree_5,12.51262929,Boston Public Garden,L209928
gls_tree_5,1.453489328,Botanik Parkı,L1930245
gls_tree_5,15.04327662,Cape Town--Company's Garden,L1357648
gls_tree_5,17.26815338,Centennial Olympic Park,L796074
gls_tree_5,12.79159866,Centennial Park (Sydney),L945869
gls_tree_5,10.14989941,"Central Park (Banabitan), Kolkata",L2071440
gls_tree_5,1.924062419,Centre for Environment Education (CEE),L3353044
gls_tree_5,5.609499152,Cerro Santa Lucia,L980718
gls_tree_5,15.05755635,Constitution Gardens and Reflecting Pool,L473521
gls_tree_5,6.202278244,Curitiba -- Jardim Botânico de Curitiba,L3143033
gls_tree_5,4.638779866,Dallas--Pioneer Park/City Hall Park,L1274650
gls_tree_5,11.83506337,Durban Botanical Gardens,L1060493
gls_tree_5,4.330146309,Echo Park,L619767
gls_tree_5,6.438596491,Fergusson College Campus,L3148022
gls_tree_5,19.03365815,Freeway Park (Seattle),L372668
gls_tree_5,5.962819794,Hanoi Botanical Gardens,L1877540
gls_tree_5,17.90279216,Hofgarten Düsseldorf,L3024180
gls_tree_5,10.40821195,Houston--West 11th Street Park,L281716
gls_tree_5,7.475237201,"Humboldt Park, Chicago",L339164
gls_tree_5,11.75455516,Hyde Park,L938388
gls_tree_5,5.471468077,Jakarta--Monas,L1416967
gls_tree_5,15.88801133,Jardín Botánico de Medellín Joaquín Antonio Uribe,L1119406
gls_tree_5,6.9572489,Jardín Botánico José Celestino Mutis,L2404145
gls_tree_5,4.789921635,Johannesburg Botanical Gardens,L1277000
gls_tree_5,0.721912201,Kiwanis Park,L834429
gls_tree_5,23.37710746,Kowloon Park,L1435080
gls_tree_5,7.660722591,Kuala Lumpur City Center Park,L2688240
gls_tree_5,6.987377098,Kunming--Green Lake Park,L957929
gls_tree_5,7.23580259,Lago del Golf,L1471853
gls_tree_5,3.717538032,Lalbagh Botanical Gardens,L2525698
gls_tree_5,5.798541735,Lodi Gardens,L2265071
gls_tree_5,4.422600265,Lucknow Zoological Garden,L3922053
gls_tree_5,5.156973863,"Manila American Cemetery & Memorial, Taguig",L1271819
gls_tree_5,8.810715696,Mt. Davidson,L419667
gls_tree_5,8.777662168,Nairobi River @ National Museums of Kenya (incl. Boulevard Hotel),L1046815
gls_tree_5,10.41740971,Namsan Mountain,L1668242
gls_tree_5,4.411802729,Pantoja Park,L1830072
gls_tree_5,7.670314503,Paris--6e arr.--Jardin du Luxembourg,L920889
gls_tree_5,28.08260163,Parque Chico Mendes,L2386097
gls_tree_5,4.470542709,"Parque de El Retiro, Madrid",L1139116
gls_tree_5,3.512743437,"Parque de la Ciutadella, Barcelona",L4026586
gls_tree_5,6.653067114,Parque do Ibirapuera,L1800556
gls_tree_5,13.49921656,Parque Rufino Tamayo,L2875912
gls_tree_5,12.4174627,PN de l'Île-de-la-Visitation,L459787
gls_tree_5,8.055593399,Prospect Park,L109516
gls_tree_5,10.83606883,Royal Botanic Gardens (Melbourne),L919153
gls_tree_5,0,Safa Park,L982332
gls_tree_5,6.715563565,Saigon--Thao Cam Vien (Saigon Zoo),L1118709
gls_tree_5,3.338234267,"Sanjeevaiah Park, Hyderabad",L2472492
gls_tree_5,13.27353502,Santo Domingo--Jardín Botánico Nacional,L352473
gls_tree_5,0.484499909,Shahr Park (general area),L3158781
gls_tree_5,6.945395844,Shangaii--Century Park,L1029418
gls_tree_5,6.992807785,Shushan Forest Park,L3483931
gls_tree_5,6.721584079,Sun Yat-sen University Campus,L2354294
gls_tree_5,0.398197129,Technopole,L2389491
gls_tree_5,4.088154243,Tiantan Park (Temple of Heaven),L2398320
gls_tree_5,15.13984659,Toronto--Queen's Park,L571677
gls_tree_5,9.638384304,UM Dearborn--Rouge River Bird Observatory,L511955
gls_tree_5,2.635541195,University of Ghana Botanical Gardens,L2265183
gls_tree_5,7.247260646,Villa Borghese,L1017789
gls_tree_5,7.500742093,Viveros de Coyoacán,L294783
gls_tree_5,10.13294728,Woodlands Cemetery,L715912
gls_tree_5,5.484186786,Yangon--Inya Lake,L1899347
