COMMON_NAME,classification
Gray Catbird,L
Northern Mockingbird,L
Carolina Wren,L
Black Vulture,R
Blue-gray Gnatcatcher,L
Downy Woodpecker,L
Red-bellied Woodpecker,L
Yellow-rumped Warbler,L
Anhinga,W
Northern Cardinal,L
Great Egret,W
American Robin,L
Eastern Phoebe,L
Turkey Vulture,R
Eastern Bluebird,L
Boat-tailed Grackle,L
Mourning Dove,L
Blue Jay,L
House Wren,L
American White Pelican,W
Double-crested Cormorant,W
Red-tailed Hawk,R
Ring-billed Gull,W
Canada Goose,W
Spotted Towhee,L
Golden-crowned Kinglet,L
Red-breasted Sapsucker,L
European Starling,L
Purple Finch,L
American Redstart,L
Chimney Swift,L
Kentucky Warbler,L
Acadian Flycatcher,L
Red-breasted Nuthatch,L
Dark-eyed Junco,L
Red-eyed Vireo,L
House Sparrow,L
Gray-cheeked Thrush,L
American Goldfinch,L
Common Grackle,L
Eastern Wood-Pewee,L
Great-tailed Grackle,L
American Wigeon,W
Mallard,W
Merlin,R
White-winged Dove,L
Ovenbird,L
Wood Thrush,L
Eastern Screech-Owl,R
Hooded Warbler,L
Common Merganser,W
Hooded Merganser,W
Ring-necked Duck,W
Palm Warbler,L
Swamp Sparrow,L
Northern Flicker,L
Belted Kingfisher,W
Field Sparrow,L
Broad-winged Hawk,R
Scarlet Tanager,L
Anna's Hummingbird,L
Red-winged Blackbird,L
Pied-billed Grebe,W
Brown Creeper,L
Pileated Woodpecker,L
American Crow,L
Magnolia Warbler,L
Black-throated Blue Warbler,L
Wilson's Warbler,L
Killdeer,W
Rose-breasted Grosbeak,L
Green-winged Teal,W
Fox Sparrow,L
Common Raven,L
Common Loon,W
Chipping Sparrow,L
Veery,L
Bay-breasted Warbler,L
Blue-headed Vireo,L
Osprey,R
Baltimore Oriole,L
Nashville Warbler,L
Herring Gull,W
Tree Swallow,L
Black-capped Chickadee,L
Song Sparrow,L
Common Goldeneye,W
White-throated Sparrow,L
Ruby-crowned Kinglet,L
Yellow-bellied Sapsucker,L
Caspian Tern,W
House Finch,L
Brown-headed Cowbird,L
Tufted Titmouse,L
Louisiana Waterthrush,L
Black-throated Green Warbler,L
Alder Flycatcher,L
White-breasted Nuthatch,L
Barred Owl,R
Solitary Sandpiper,L
Blackburnian Warbler,L
Swainson's Thrush,L
Cape May Warbler,L
Wood Duck,W
Blackpoll Warbler,L
Hermit Thrush,L
American Black Duck,W
White-crowned Sparrow,L
Northern Waterthrush,L
Philadelphia Vireo,L
Laughing Gull,W
Warbling Vireo,L
Northern Rough-winged Swallow,L
Tennessee Warbler,L
Yellow Warbler,L
Northern Parula,L
Eastern Kingbird,L
Common Yellowthroat,L
Black-and-white Warbler,L
Eastern Towhee,L
Barn Swallow,L
Brown Thrasher,L
Northern Shoveler,W
Great Blue Heron,W
Yellow-bellied Flycatcher,L
Worm-eating Warbler,L
Indigo Bunting,L
Ruddy Duck,W
Fish Crow,L
Red-shouldered Hawk,R
Sora,W
Glaucous-winged Gull,W
Northwestern Crow,L
Great Crested Flycatcher,L
Vaux's Swift,L
Cooper's Hawk,R
Red-headed Woodpecker,L
Pine Warbler,L
Cedar Waxwing,L
Hairy Woodpecker,L
Black-crowned Night-Heron,W
American Kestrel,R
Green Heron,W
Lincoln's Sparrow,L
Blue-winged Warbler,L
Savannah Sparrow,L
Rainbow Lorikeet,L
Australian Magpie,L
Gray Butcherbird,L
Chestnut-sided Warbler,L
Eurasian Coot,W
Little Corella,L
Dusky Moorhen,W
Pacific Black Duck,W
Willie-wagtail,L
Welcome Swallow,L
White-eyed Duck,W
Australasian Figbird,L
Masked Lapwing,W
Canada Warbler,L
Spotted Dove,L
Crested Pigeon,L
Common Myna,L
Australasian Darter,W
Little Black Cormorant,W
Superb Fairywren,L
Olive-sided Flycatcher,L
Orchard Oriole,L
Royal Spoonbill,W
Pied Butcherbird,L
Intermediate Egret,W
Spotted Sandpiper,W
Torresian Crow,L
Dollarbird,L
Australasian Grebe,W
Noisy Miner,L
Magpie-lark,L
Black Swan,W
Cattle Egret,W
Ruby-throated Hummingbird,L
Least Flycatcher,L
Willow Flycatcher,L
Connecticut Warbler,L
Prairie Warbler,L
White-crowned Pigeon,L
White-eyed Vireo,L
Yellow-throated Warbler,L
Eurasian Collared-Dove,L
Swainson's Warbler,L
White Ibis,W
Rufous Hummingbird,L
Bald Eagle,R
Western Tanager,L
Pine Siskin,L
Orange-crowned Warbler,L
Bushtit,L
Townsend's Warbler,L
Western Wood-Pewee,L
Violet-green Swallow,L
Golden-crowned Sparrow,L
Pacific Wren,L
Varied Thrush,L
Steller's Jay,L
Common Redpoll,L
European Goldfinch,L
Gadwall,W
Mute Swan,W
Bufflehead,W
Winter Wren,L
Latham's Snipe,W
Laughing Kookaburra,L
Monk Parakeet,L
Loggerhead Shrike,L
Sulphur-crested Cockatoo,L
Golden-headed Cisticola,L
Silver Gull,W
Black-faced Cuckooshrike,L
Whiskered Tern,W
Silver-eye,L
Chestnut Teal,W
Mourning Warbler,L
Burrowing Owl,R
Olive-backed Oriole,L
